3701.396844	6692
3710.441814	6810
3720.869837	6738
3730.021237	6675
3740.219984	6979
3750.824338	6709
3760.348283	6708
3770.047435	6753
3780.381024	6817
3789.932628	6847
3800.786698	6638
3810.791837	6890
3820.516906	6887
3830.22067	6895
3841.476879	6662
3850.51099	6625
3860.894202	6767
3870.90118	6700
3880.008099	6645
3890.852048	6896
3900.724319	6559
3910.092813	6660
3920.149202	6667
3930.210379	6947
3940.620208	6691
3949.756554	6782
3960.198244	6721
3969.421138	6631
3979.191546	6553
3989.697807	6755
3999.82657	6502
4010.52057	6533
4019.523067	6533
4028.992051	6239
4039.229647	5937
4049.468813	5487
4059.603101	5706
4068.258876	5589
4079.092019	5364
4089.948102	5734
4099.901302	6438
4108.855239	6589
4120.357594	6666
4130.046981	6697
4139.059154	6645
4149.281515	6561
4160.274117	6862
4169.279125	6793
4180.083735	6822
4188.863633	6773
4198.543637	6633
4209.349755	6716
4219.73786	6832
4229.076986	6652
4239.790455	6651
4249.377275	6739
4259.500454	6709
4269.817101	6798
4280.073267	6794
4290.210859	6766
4299.860211	6576
4299.750913	6919
4309.868664	6824
4319.970395	6712
4330.47437	6860
4340.701207	6846
4350.665104	6736
4360.611088	6611
4370.2523	6773
4380.342619	6728
4391.128438	6880
4399.866306	6800
4410.655841	6808
4420.637977	6700
4430.082269	6782
4440.413206	6590
4450.787269	6730
4459.644649	6844
4470.698998	6625
